game_id,size_of_game,num_discard_cards,hand_p1,hand_p2,target_epsilon,target_delta,v_inf,v_1_inf,sample_complexity,simulation_complexity
46354412,25,1,"['C4', 'D4', 'D6', 'S10', 'D12']","['C3', 'C6', 'C7', 'S9', 'H11']",0.01,0.05,0.7732426303854876,15.641723356009072,196392,4018799
15770554,100,2,"['C11', 'D11', 'C12', 'S13', 'S14']","['S2', 'C2', 'D2', 'H7', 'D9']",0.01,0.05,0.9150152228251999,64.811853434612,259755,18715979
18618691,25,1,"['H2', 'D9', 'H10', 'S10', 'S11']","['S2', 'C2', 'H5', 'H12', 'C14']",0.01,0.05,0.6218820861678005,14.126984126984128,159840,3653006
12160925,100,2,"['C3', 'D3', 'H6', 'H9', 'D13']","['C4', 'C5', 'S10', 'S13', 'S14']",0.01,0.05,0.9329183983726348,74.11723666266035,264624,21246929
66954116,25,1,"['C2', 'D5', 'H6', 'S13', 'C14']","['D2', 'S5', 'S6', 'S12', 'H14']",0.01,0.05,0.46031746031746035,6.388888888888891,120824,1784339
32524794,100,2,"['H3', 'S3', 'H9', 'H11', 'H13']","['H2', 'S2', 'D2', 'D9', 'C10']",0.01,0.05,0.9177023178892815,62.075092975917364,260486,17971614
31618559,25,1,"['C2', 'S10', 'H11', 'C12', 'D12']","['H3', 'H4', 'H5', 'C5', 'H14']",0.01,0.05,0.854875283446712,15.49886621315193,216105,3984301
12469271,100,2,"['D2', 'S3', 'C3', 'H8', 'D13']","['H4', 'C4', 'C7', 'H10', 'H11']",0.01,0.05,0.9081086331022593,74.23557136517113,257876,21279114
60987813,25,1,"['C7', 'H9', 'S12', 'C12', 'H13']","['D4', 'S7', 'S8', 'H11', 'D12']",0.01,0.05,0.6763038548752834,5.900226757369614,172982,1666333
28581987,100,2,"['C2', 'H3', 'C7', 'H12', 'S12']","['H2', 'S4', 'C6', 'H7', 'C13']",0.01,0.05,0.775310560472454,53.75400939673904,221757,15708382
12887358,25,1,"['S3', 'S5', 'D5', 'S13', 'S14']","['C4', 'S6', 'H10', 'S10', 'C11']",0.01,0.05,0.854875283446712,16.179138321995463,216105,4148579
20002609,100,2,"['C2', 'D4', 'C5', 'D11', 'S14']","['H2', 'H6', 'D6', 'H7', 'D12']",0.01,0.05,0.85849719622134,67.5155782717608,244383,19451359
