game_id,size_of_game,num_discard_cards,hand_p1,hand_p2,target_epsilon,target_delta,v_inf,v_1_inf,sample_complexity,simulation_complexity
69244183,25,1,"['C3', 'S6', 'D8', 'D9', 'S11']","['H2', 'S2', 'C7', 'S12', 'D13']",0.01,0.05,0.8163265306122449,20.40816326530611,206796,5169843
10161875,100,2,"['C2', 'H4', 'H7', 'H8', 'C14']","['S9', 'C9', 'D9', 'C11', 'S14']",0.01,0.05,0.9548252376500868,37.769883761555356,270583,11360896
62455810,25,1,"['H2', 'S3', 'D4', 'C6', 'D13']","['S2', 'C9', 'D10', 'D12', 'H14']",0.01,0.05,0.9183673469387755,18.77777777777778,231438,4776122
43839170,100,2,"['D2', 'H4', 'C7', 'H9', 'H11']","['C8', 'D8', 'D9', 'D11', 'C13']",0.01,0.05,0.8610035328825165,59.35995877629258,245064,17233131
83971566,25,1,"['H3', 'D7', 'S10', 'S11', 'C11']","['C5', 'D10', 'H11', 'D12', 'S14']",0.01,0.05,0.7256235827664399,11.990929705215422,184892,3137172
50875699,100,2,"['C3', 'C5', 'H8', 'S11', 'C14']","['C2', 'H5', 'C7', 'C9', 'D13']",0.01,0.05,0.9242312034867486,81.21868933970575,262262,23178436
17707718,25,1,"['H5', 'H8', 'H12', 'H13', 'S13']","['S2', 'S4', 'H9', 'C12', 'D12']",0.01,0.05,0.7256235827664399,10.179138321995463,184892,2699644
31151945,100,2,"['D9', 'C11', 'C12', 'S14', 'D14']","['D10', 'H11', 'H12', 'D13', 'H14']",0.01,0.05,0.8994646044021416,44.728477946800375,255525,13253548
60014598,25,1,"['C2', 'H8', 'S8', 'H10', 'C13']","['S4', 'S7', 'S12', 'D12', 'S13']",0.01,0.05,0.8163265306122449,10.190476190476192,206796,2702382
99852884,100,2,"['D3', 'H6', 'C8', 'S10', 'C14']","['C2', 'H5', 'D10', 'H11', 'S13']",0.01,0.05,0.9163641661304617,82.17027711342317,260122,23437256
29663644,25,1,"['H2', 'D8', 'S10', 'D10', 'C11']","['S5', 'S9', 'C10', 'D11', 'H14']",0.01,0.05,0.6167800453514739,9.11111111111111,158608,2441727
16528440,100,2,"['D4', 'D6', 'D7', 'H12', 'S14']","['S4', 'D5', 'C8', 'D8', 'C13']",0.01,0.05,0.9163641661304617,70.21386956527601,260122,20185261
61329978,25,1,"['D2', 'S8', 'D9', 'S10', 'H13']","['C3', 'D5', 'C9', 'D10', 'D13']",0.01,0.05,0.6167800453514739,12.108843537414968,158608,3165647
19708921,100,2,"['D2', 'H3', 'H5', 'D8', 'C9']","['D3', 'C12', 'D12', 'S14', 'C14']",0.01,0.05,0.9255046059669159,40.894522076131665,262608,12210759
94135441,25,1,"['H3', 'D3', 'C8', 'S11', 'H13']","['C2', 'S4', 'D4', 'C9', 'D10']",0.01,0.05,0.7732426303854876,16.385487528344672,196392,4198410
82273342,100,2,"['D2', 'H6', 'H9', 'D11', 'D12']","['H2', 'S2', 'H5', 'C6', 'C12']",0.01,0.05,0.919029678101659,57.44144304559023,260847,16711318
